2024-08-30;22:07:08.087;[0] PING;22:07:08.940;[0]/[0]] PONG (1)
2024-08-30;22:07:09.554;[1] PING;22:07:09.751;[1]/[1]] PONG (1)
2024-08-30;22:07:11.166;[2] PING;22:07:11.480;[3]/[2]] PONG (1)
2024-08-30;22:07:12.995;[3] PING;22:07:13.851;[4]/[3]] PONG (1)
2024-08-30;22:07:13.851;[4] PING;22:07:14.153;[5]/[4]] PONG (1)
2024-08-30;22:07:14.154;[5] PING;22:07:15.117;[6]/[5]] PONG (1)
2024-08-30;22:07:15.117;[6] PING;22:07:15.263;[7]/[6]] PONG (1)
2024-08-30;22:07:16.555;[7] PING;22:07:17.074;[9]/[7]] PONG (1)
2024-08-30;22:07:17.209;[8] PING;22:07:17.780;[10]/[8]] PONG (1)
2024-08-30;22:07:18.730;[9] PING;22:07:19.681;[11]/[9]] PONG (1)
2024-08-30;22:07:19.684;[10] PING;22:07:20.487;[12]/[10]] PONG (1)
2024-08-30;22:07:21.057;[11] PING;22:07:21.822;[14]/[11]] PONG (1)
2024-08-30;22:07:22.040;[12] PING;22:07:22.484;[15]/[12]] PONG (1)
2024-08-30;22:07:24.188;[13] PING;22:07:24.870;[16]/[13]] PONG (1)
2024-08-30;22:07:25.068;[14] PING;22:07:25.269;[17]/[14]] PONG (1)
2024-08-30;22:07:27.249;[15] PING;22:07:28.007;[19]/[15]] PONG (1)
2024-08-30;22:07:28.476;[16] PING;22:07:28.786;[20]/[16]] PONG (1)
2024-08-30;22:07:29.637;[17] PING;22:07:30.274;[21]/[17]] PONG (1)
2024-08-30;22:07:30.595;[18] PING;(проигнорировано)
2024-08-30;22:07:32.466;[19] PING;22:07:32.799;[23]/[19]] PONG (1)
2024-08-30;22:07:32.954;[20] PING;22:07:33.786;[24]/[20]] PONG (1)
2024-08-30;22:07:34.283;[21] PING;22:07:35.033;[25]/[21]] PONG (1)
2024-08-30;22:07:37.015;[22] PING;22:07:37.896;[27]/[22]] PONG (1)
2024-08-30;22:07:39.962;[23] PING;22:07:40.279;[28]/[23]] PONG (1)
2024-08-30;22:07:42.716;[24] PING;22:07:43.710;[30]/[24]] PONG (1)
2024-08-30;22:07:45.146;[25] PING;22:07:46.110;[32]/[25]] PONG (1)
2024-08-30;22:07:47.032;[26] PING;(проигнорировано)
2024-08-30;22:07:48.294;[27] PING;22:07:49.139;[33]/[27]] PONG (1)
2024-08-30;22:07:49.139;[28] PING;22:07:49.447;[34]/[28]] PONG (1)
2024-08-30;22:07:50.791;[29] PING;22:07:51.121;[36]/[29]] PONG (1)
2024-08-30;22:07:53.585;[30] PING;22:07:54.067;[37]/[30]] PONG (1)
2024-08-30;22:07:54.068;[31] PING;22:07:54.349;[38]/[31]] PONG (1)
2024-08-30;22:07:55.767;[32] PING;22:07:56.242;[40]/[32]] PONG (1)
2024-08-30;22:07:56.308;[33] PING;22:07:57.083;[41]/[33]] PONG (1)
2024-08-30;22:07:57.304;[34] PING;22:07:57.700;[42]/[34]] PONG (1)
2024-08-30;22:07:59.699;[35] PING;22:07:59.867;[43]/[35]] PONG (1)
2024-08-30;22:08:02.123;[36] PING;22:08:02.611;[45]/[36]] PONG (1)
